ID_publisher,Publisher,Headquarters
2,"Microsoft Game Studios","Redmond, Washington, USA"
3,Coleco,"West Hartford, Connecticut, USA"
4,"MTV Games","New York, USA"
5,"Take-Two Interactive","New York, USA"
7,Activision,"Santa Monica, USA"
9,"Bethesda Softworks","Rockville, Maryland, USA"
11,"Electronic Arts","Redwood City, California, USA"
15,"Disney Interactive Studios","Glendale, California, USA"
17,"CPG Products","Beverly, Massachusetts, USA"
18,Atari,"Sunnyvale, California, USA"
20,"TDK Mediactive","Westlake Village, California, USA"
21,"ASC Games","Darien, Connecticut, USA"
24,"505 Games","Calabasas, California, USA"
26,"Zoo Games","Cincinnati, Ohio, USA"
27,Accolade,"San Jose, California, USA"
28,"Sony Online Entertainment","San Diego, California, USA"
29,3DO,"Redwood City, California, USA"
37,"Destination Software, Inc","Mundelein, Illinois, USA"
39,RedOctane,"Sunnyvale, California, USA"
41,"20th Century Fox Video Games","Los Angeles, California, USA"
44,"Vivendi Games","Los Angeles, California, USA"
45,"Hudson Entertainment","San Jose, California, USA"
48,"Brash Entertainment","Los Angeles, California, USA"
50,"ITT Family Games","New York, USA"
52,"PopCap Games","Seattle, Washington, USA"
55,Men-A-Vision,"Los Angeles, California, USA"
61,"Hasbro Interactive","Pawtucket, Rhode Island, USA"
63,"Destination Software, Inc","Minnetonka, Minnesota, USA"
65,"Brash Entertainment","Los Angeles, California, USA"
66,"ITT Family Games","New York, USA"
68,"XS Games","New York, USA"
69,"Activision Blizzard","Santa Monica, California, USA"
73,Ultravision,"Los Angeles, California, USA"
74,"GameMill Entertainment","Minneapolis, Minnesota, USA"
77,"Crystal Dynamics","San Mateo, California, USA"
78,"PopCap Games","Seattle, Washington, USA"
79,NovaLogic,"Calabasas, California, USA"
82,THQ,"Agoura Hills, California, USA"
85,"Telltale Games","San Rafael, California, USA"
87,"GT Interactive","New York, USA"
89,Ackkstudios,"New York, USA"
90,"Angel Studios","San Diego, California, USA"
91,"BAM! Entertainment","San Jose, California, USA"
94,"Starpath Corp.","Santa Clara, California, USA"
95,"Knowledge Adventure","Torrance, California, USA"
98,Mastiff,"San Francisco, California, USA"
100,NewKidCo,"New York, USA"
103,LucasArts,"San Francisco, California, USA"
104,"Storm City Games","Las Vegas, Nevada, USA"
107,"CBS Electronics","New York, USA"
109,"Black Label Games","Los Angeles, California, USA"
110,"Fox Interactive","Los Angeles, California, USA"
111,"SouthPeak Games","Grapevine, Texas, USA"
118,"Acclaim Entertainment","Glen Cove, New York, USA"
119,"Angel Studios","Carlsbad, California, USA"
123,"MTV Games","New York, USA"
125,"Mentor Interactive","Pittsburgh, Pennsylvania, USA"
131,"Tetris Online","Honolulu, Hawaii, USA"
132,"Harmonix Music Systems","Cambridge, Massachusetts, USA"
137,"Gathering of Developers","Dallas, Texas, USA"
142,NewKidCo,"New York, USA"
143,"Storm City Games","El Segundo, California, USA"
144,"CokeM Interactive","St. Louis, Missouri, USA"
145,"CBS Electronics","New York, USA"
154,"Data Age","Campbell, California, USA"
156,TalonSoft,"Baltimore, Maryland, USA"
157,Playmates,"Costa Mesa, California, USA"
162,"Warner Bros. Interactive Entertainment","Burbank, California, USA"
163,Touchstone,"Burbank, California, USA"
165,"Disney Interactive Studios","Glendale, California, USA"
166,"Majesco Entertainment","Hazlet, New Jersey, USA"
169,"Universal Interactive","Los Angeles, California, USA"
170,"Scholastic Inc.","New York, USA"
172,"Mud Duck Productions","Beverly Hills, California, USA"
174,Screenlife,"Seattle, Washington, USA"
175,Agetec,"Santa Clara, California, USA"
176,"Jack of All Games","West Chester, Ohio, USA"
179,"989 Sports","Foster City, California, USA"
180,Interplay,"Irvine, California, USA"
184,Mystique,"Los Angeles, California, USA"
186,Microprose,"Hunt Valley, Maryland, USA"
187,"Red Orb","San Francisco, California, USA"
196,"Midway Games","Chicago, Illinois, USA"
198,Tigervision,"Sunnyvale, California, USA"
202,JVC,"Los Angeles, California, USA"
207,"Metro 3D","San Jose, California, USA"
211,"Mattel Interactive","El Segundo, California, USA"
212,"Angel Studios","Carlsbad, California, USA"
213,"989 Studios","Foster City, California, USA"
217,"Sony Computer Entertainment America","San Mateo, California, USA"
218,"Universal Gamex","New York, USA"
220,"Parker Bros.","Beverly, Massachusetts, USA"
222,Maxis,"Emeryville, California, USA"
223,"Wizard Video Games","Los Angeles, California, USA"
224,Imagic,"Los Gatos, California, USA"
225,"Metro 3D","San Jose, California, USA"
227,"Mattel Interactive","El Segundo, California, USA"
229,"Valve Software","Bellevue, Washington, USA"
232,"Sony Computer Entertainment America","San Mateo, California, USA"
233,Mindscape,"Northbrook, Illinois, USA"
237,"Wizard Video Games","Philadelphia, Pennsylvania, USA"
241,"Activision Value","Santa Monica, California, USA"
247,"Red Storm Entertainment","Cary, North Carolina, USA"
253,Destineer,"Minneapolis, Minnesota, USA"
255,"Xseed Games","Torrance, California, USA"
257,"Global Star","New York, USA"
258,"Gotham Games","New York, USA"
259,"Westwood Studios","Las Vegas, Nevada, USA"
260,Playmates,"Costa Mesa, California, USA"
266,"CPG Products","Chicago, Illinois, USA"
267,"Crave Entertainment","Newport Beach, California, USA"
268,"Trion Worlds","Redwood City, California, USA"
273,Destineer,"Minneapolis, Minnesota, USA"
275,"Fox Interactive","Los Angeles, California, USA"
276,"Xseed Games","Torrance, California, USA"
279,"Acclaim Entertainment","Glen Cove, New York, USA"
